property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,floor_num,total_floors,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,godrej nature plus,sector-33 sohna,1.55,9955.0,3.0,2.0,3.0,0.2,New Property,8.0,22.0,1730.0,0,0,0,0,0,2,29
flat,ramprastha city,dwarka expressway,1.3,9028.0,3.0,3.0,2.0,0.2,Under Construction,3.0,4.0,1303.0,0,0,0,0,0,2,0
flat,smartworld 1dxp,sector 113,2.75,10589.0,4.0,4.0,3.0,0.2,Moderately Old,20.0,32.0,2885.0,1,1,0,1,0,1,43
flat,ansal housing highland park,sector 103,1.25,6443.0,3.0,3.0,3.0,0.2,New Property,2.0,17.0,1465.0,0,0,0,1,0,2,59
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3.0,2.0,2.0,0.2,Moderately Old,-1.0,28.0,630.0,0,0,0,0,0,2,0
flat,breez global heights,sohna road,0.4,6421.0,2.0,2.0,1.0,0.2,New Property,4.0,10.0,615.0,0,0,0,0,0,2,35
flat,trisara our homes 3,sohna road,0.34,5405.0,2.0,2.0,1.0,0.2,New Property,0.0,4.0,699.0,0,0,0,0,0,2,0
flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,3.0,0.2,New Property,3.0,4.0,1288.0,1,0,0,0,1,2,30
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3.0,3.0,3.0,0.2,Moderately Old,4.0,8.0,1310.0,0,0,0,0,0,0,59
flat,ramprastha city,dwarka expressway,1.3,9286.0,3.0,3.0,2.0,0.2,Under Construction,3.0,4.0,1267.0,0,0,0,0,0,2,0
flat,pareena coban residences,sector 99a,1.6,8000.0,3.0,3.0,3.0,0.2,Under Construction,6.0,20.0,1810.0,0,0,0,0,0,2,0
flat,la vida by tata housing,sector 113,1.5,11755.0,2.0,2.0,2.0,0.2,New Property,13.0,13.0,1418.0,0,0,0,0,0,2,8
flat,la vida by tata housing,sector 113,1.5,11755.0,2.0,2.0,2.0,0.2,New Property,13.0,13.0,1155.0,0,0,0,0,0,2,44
flat,godrej summit premia towers,sector 104,0.9,7149.0,2.0,2.0,0.0,0.2,Moderately Old,16.0,16.0,1259.0,0,0,0,0,0,2,0
flat,ardee city,sector 52,1.5,9146.0,4.0,4.0,3.0,0.2,Old Property,3.0,4.0,1484.0,0,0,0,0,0,2,53
flat,m3m one key resiments,sector 67,0.8,13115.0,1.0,1.0,0.0,0.2,Moderately Old,0.0,1.0,610.0,0,0,0,0,0,2,0
flat,ansal heights 86,sector 86,1.25,7396.0,3.0,2.0,1.0,0.2,New Property,11.0,14.0,1530.0,0,0,0,0,0,2,38
flat,mvn athens,sohna road,0.26,5394.0,2.0,2.0,1.0,0.2,Moderately Old,2.0,14.0,535.0,0,0,0,0,0,2,28
flat,signature the serenas,sohna road,0.42,7910.0,2.0,2.0,1.0,0.2,New Property,12.0,12.0,590.0,0,0,0,0,0,2,45
flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,3.0,3.0,2.0,0.2,New Property,2.0,4.0,195.0,0,0,0,0,0,2,0
flat,umang monsoon breeze,sector 78,0.9,4615.0,3.0,3.0,2.0,0.2,Moderately Old,1.0,18.0,1900.0,0,1,0,1,0,2,46
flat,gls avenue 51,sector 92,0.42,7107.0,2.0,2.0,1.0,0.2,Moderately Old,4.0,12.0,657.0,1,0,0,1,0,0,28
flat,signature global solera,sector 107,0.5,7692.0,2.0,2.0,1.0,0.2,Moderately Old,11.0,13.0,494.0,0,0,0,0,0,2,48
flat,supertech araville,sector 79,0.9,5882.0,2.0,2.0,3.0,0.2,Moderately Old,5.0,17.0,1450.0,1,0,0,0,0,2,44
flat,greenopolis,sector 89,1.3,6806.0,3.0,3.0,3.0,0.2,New Property,1.0,25.0,2122.0,0,1,0,0,0,2,21
flat,central park flower valley aqua front towers,sector-33 sohna,1.7,9503.0,3.0,3.0,3.0,0.2,Under Construction,12.0,16.0,1619.0,0,0,0,0,0,2,24
flat,sare homes,sector 92,1.25,6200.0,4.0,3.0,0.0,0.2,Moderately Old,16.0,18.0,2040.0,0,0,0,0,0,2,35
flat,vatika sovereign next sector-82 a gurgaon,sector 82a,2.91,6700.0,4.0,4.0,3.0,0.2,Under Construction,6.0,6.0,3902.0,1,1,1,0,0,0,58
flat,bhagwati sadan,sector 12,1.15,5750.0,3.0,4.0,2.0,0.2,Old Property,2.0,2.0,2000.0,1,1,0,0,1,0,16
flat,smart world gems,sector 89,1.2,12526.0,3.0,3.0,3.0,0.2,Moderately Old,3.0,4.0,1064.0,0,0,1,1,0,2,84
flat,micasa sec 68,sohna road,1.5,12245.0,2.0,2.0,3.0,0.2,New Property,11.0,25.0,1361.0,0,0,0,0,0,2,35
flat,eldeco accolade,sohna road,1.3,7424.0,3.0,3.0,3.0,0.2,Moderately Old,10.0,18.0,1509.0,0,0,0,0,0,2,35
flat,hero homes,sector 104,1.75,10361.0,3.0,3.0,3.0,0.2,Moderately Old,2.0,25.0,1529.0,0,0,0,0,0,2,23
flat,shyam sadan,sector 5,0.55,6471.0,2.0,2.0,1.0,0.2,Moderately Old,4.0,4.0,778.0,1,0,0,0,0,0,24
flat,m3m heights,sector 65,2.5,13602.0,3.0,3.0,3.0,0.2,Moderately Old,19.0,41.0,1654.0,0,0,0,0,0,2,31
flat,supertech hilltown,sector 2,0.8,5556.0,3.0,2.0,3.0,0.2,Moderately Old,8.0,8.0,1440.0,0,0,0,0,0,2,0
flat,raheja vedaanta,sector 108,0.7,4667.0,2.0,2.0,1.0,0.2,Moderately Old,10.0,16.0,1468.0,0,0,0,0,0,2,0
flat,bptp terra,sector 37d,1.95,14444.0,4.0,3.0,3.0,0.2,Moderately Old,7.0,20.0,1650.0,0,0,0,0,0,2,24
flat,green court,sector 90,0.45,7188.0,2.0,2.0,1.0,0.2,New Property,2.0,14.0,695.0,0,0,0,0,0,0,28
flat,m3m golf hills phase 1,sector 79,1.7,10828.0,3.0,2.0,3.0,0.2,Moderately Old,10.0,10.0,1570.0,0,0,0,0,0,2,0
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2.0,2.0,1.0,0.2,Moderately Old,10.0,20.0,578.0,0,0,0,0,0,2,15
flat,m3m heights,sector 65,2.8,14997.0,3.0,3.0,3.0,0.2,Moderately Old,20.0,34.0,1654.0,0,0,0,0,0,2,67
flat,godrej nature plus,sector-33 sohna,1.45,15659.0,3.0,2.0,3.0,0.2,Under Construction,20.0,22.0,118.0,1,0,0,0,0,2,84
flat,smart world orchard,sector 61,2.2,13497.0,3.0,3.0,2.0,0.2,Moderately Old,3.0,4.0,1811.0,0,0,0,0,0,2,16
flat,ashiana anmol,sohna road,0.9,9464.0,2.0,2.0,2.0,0.2,Moderately Old,13.0,14.0,1105.0,0,0,0,0,0,1,75
flat,signature signum 95a,sector 95,0.4,7782.0,2.0,2.0,2.0,0.2,New Property,3.0,19.0,571.0,0,0,0,0,0,0,35
flat,umang winter hills,sector 77,1.35,7781.0,3.0,3.0,3.0,0.2,New Property,7.0,18.0,1451.0,0,0,1,0,0,0,61
flat,aardhya homesh,sector 67a,1.85,8043.0,4.0,4.0,0.0,0.2,New Property,4.0,4.0,2555.0,0,0,0,0,0,2,0
flat,rof ananda,sector 95,0.25,6579.0,1.0,1.0,1.0,0.2,New Property,4.0,14.0,344.0,0,0,0,0,0,2,0
flat,smart world gems,sector 89,0.88,7964.0,2.0,2.0,3.0,0.2,New Property,2.0,4.0,1228.0,1,0,0,0,0,2,35
flat,assotech blith,sector 99,1.15,6594.0,2.0,2.0,2.0,0.2,New Property,2.0,25.0,1235.0,0,0,0,0,1,0,67
flat,raheja vanya,sector 99a,0.85,6789.0,2.0,2.0,2.0,0.2,New Property,3.0,19.0,1133.0,0,0,0,0,0,2,38
flat,vatika inxt floors,sector 82a,0.75,7500.0,2.0,2.0,2.0,0.2,Moderately Old,1.0,1.0,1000.0,0,0,0,0,0,2,0
flat,palam vihar society,sector 2,3.35,7444.0,4.0,4.0,3.0,0.2,New Property,2.0,4.0,4999.0,1,0,0,0,0,2,28
flat,godrej oasis,sector 88a,1.5,8108.0,3.0,3.0,3.0,0.2,New Property,11.0,15.0,1674.0,0,0,0,0,0,2,25
flat,dlf new town heights,sector 91,1.65,6346.0,4.0,4.0,3.0,0.2,Moderately Old,11.0,21.0,2140.0,0,1,0,0,0,2,40
flat,dlf new town heights,sector 91,2.0,6966.0,4.0,4.0,3.0,0.2,Moderately Old,16.0,22.0,2468.0,1,1,0,1,0,2,51
flat,supertech hues,sector 68,0.9,7627.0,2.0,2.0,2.0,0.2,New Property,1.0,35.0,1311.0,0,0,0,0,0,2,35
flat,krrish florence estate,sector 70,1.25,6702.0,3.0,3.0,3.0,0.2,Under Construction,18.0,25.0,1688.0,0,0,0,0,0,2,46
flat,piedmont taksila heights,sector 37c,1.0,6506.0,3.0,3.0,3.0,0.2,Moderately Old,8.0,15.0,1708.0,0,0,0,0,0,0,35
flat,experion heartsong,dwarka expressway,1.08,6150.0,3.0,3.0,0.0,0.2,Under Construction,,,1758.0,0,0,0,0,0,2,0
flat,ss the leaf,sector 85,2.15,8929.0,3.0,5.0,3.0,0.2,New Property,2.0,16.0,2179.0,0,0,0,0,0,2,24
flat,m3m urbana,sector 67,1.0,12107.0,1.0,1.0,1.0,0.2,Moderately Old,17.0,17.0,826.0,0,0,0,0,0,2,35
flat,aipl zen residences,sector 70a,1.65,13074.0,2.0,2.0,3.0,0.2,New Property,23.0,28.0,1142.0,0,0,0,0,0,2,60
flat,dlf regal gardens,sector 90,1.79,8081.0,4.0,3.0,3.0,0.2,Moderately Old,10.0,18.0,2461.0,0,0,0,0,0,2,48
flat,godrej air,sector 85,1.8,13139.0,3.0,3.0,3.0,0.2,Under Construction,30.0,32.0,141.0,0,0,0,0,0,2,38
flat,suncity vatsal valley,gwal pahari,1.45,10140.0,3.0,3.0,3.0,0.2,Under Construction,4.0,4.0,1430.0,0,0,0,0,0,2,35
flat,project krishna colony,sector 7,0.36,5143.0,2.0,2.0,1.0,0.2,Moderately Old,0.0,3.0,700.0,0,0,0,0,0,2,0
flat,m3m antalya hills,sector 79,1.15,7497.0,3.0,3.0,3.0,0.2,Moderately Old,1.0,4.0,1200.0,1,0,0,0,0,2,8
flat,central park flower valley,sohna road,1.65,17442.0,3.0,3.0,0.0,0.2,Moderately Old,1.0,1.0,1051.0,0,0,0,0,0,2,24
flat,m3m capital,sector 113,2.9,12620.0,4.0,4.0,3.0,0.2,Moderately Old,11.0,36.0,2553.0,1,1,0,0,0,2,35
flat,ansal heights,sector 92,0.6,4545.0,2.0,2.0,3.0,0.2,Under Construction,11.0,13.0,1195.0,0,0,0,0,1,2,23
flat,malibu towne,sector 47,2.4,10000.0,3.0,3.0,0.0,0.2,Moderately Old,0.0,3.0,2666.0,0,0,0,0,0,0,22
flat,aipl zen residences,sector 70a,1.25,9905.0,2.0,2.0,3.0,0.2,Moderately Old,19.0,19.0,1402.0,0,0,0,0,0,2,0
