property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sohna road,1.0,1.0,2.0,New Property,1.0,13.0,422.0,0,0,0,Medium,Low Floor,0.24
flat,sector 77,3.0,4.0,3.0,New Property,11.0,12.0,2000.04,1,0,1,High,Low Floor,2.1
flat,sector-33 sohna,3.0,3.0,3.0,New Property,14.0,24.0,2510.0,1,0,0,High,Low Floor,1.9
flat,sector 79,2.0,2.0,3.0,New Property,9.0,30.0,89.0,0,0,0,Low,Low Floor,1.1
flat,sector 95,2.0,2.0,1.0,Moderately Old,8.0,14.0,699.98,0,0,2,Low,Low Floor,0.32
flat,sector 109,1.0,1.0,2.0,Moderately Old,9.0,9.0,964.98,0,0,0,Low,Low Floor,1.7
flat,sector 99a,2.0,2.0,2.0,New Property,2.0,12.0,523.99,0,0,0,Medium,Low Floor,0.32
flat,sector 86,2.0,2.0,1.0,Under Construction,4.0,14.0,756.0,0,0,0,Medium,Low Floor,0.45
flat,sector 78,1.0,2.0,2.0,Under Construction,32.0,55.0,1197.81,0,0,0,Medium,Low Floor,1.2
flat,sector 65,2.0,2.0,2.0,New Property,43.0,47.0,1309.97,0,0,0,High,Low Floor,2.1
flat,sector 4,2.0,2.0,1.0,Moderately Old,3.0,4.0,976.0,0,0,1,Low,Low Floor,0.42
flat,sector-33 sohna,3.0,2.0,3.0,New Property,8.0,22.0,2026.0,0,0,0,Low,Low Floor,1.55
flat,dwarka expressway,3.0,3.0,2.0,Under Construction,3.0,4.0,1439.99,0,0,0,Low,Low Floor,1.3
flat,sector 113,4.0,4.0,3.0,Under Construction,20.0,32.0,3379.0,1,0,2,Medium,Low Floor,2.75
flat,sector 103,3.0,3.0,3.0,New Property,2.0,17.0,1939.98,0,0,0,Medium,Low Floor,1.25
flat,sector 63a,3.0,2.0,2.0,Under Construction,-1.0,28.0,738.0,0,0,0,Low,Low Floor,0.42
flat,sohna road,2.0,2.0,1.0,New Property,4.0,10.0,623.01,0,0,0,Medium,Low Floor,0.4
flat,sohna road,2.0,2.0,1.0,New Property,0.0,4.0,819.0,0,0,0,Low,Low Floor,0.34
flat,sector 89,3.0,3.0,3.0,New Property,3.0,4.0,1422.99,0,0,0,Medium,Low Floor,1.25
flat,sector 77,3.0,3.0,3.0,Moderately Old,4.0,8.0,1450.0,0,0,1,Medium,Low Floor,1.5
flat,dwarka expressway,3.0,3.0,2.0,Under Construction,3.0,4.0,1399.95,0,0,0,Low,Low Floor,1.3
flat,sector 99a,3.0,3.0,3.0,Under Construction,6.0,20.0,2000.04,0,0,0,Low,Low Floor,1.6
flat,sector 113,2.0,2.0,2.0,New Property,13.0,13.0,1660.0,0,0,0,Low,Low Floor,1.5
flat,sector 113,2.0,2.0,2.0,New Property,13.0,13.0,1275.95,0,0,0,Medium,Low Floor,1.5
